City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,khandud,36.9513,72.318,-12.82,39,6,0.82,AF,1704156009
83,kerikeri,-35.2268,173.9474,23.28,67,4,3.52,NZ,1704156010
84,tiksi,71.6872,128.8694,-29.35,100,100,0.63,RU,1704156010
85,isafjordur,66.0755,-23.124,3.3,97,100,7.75,IS,1704156010
86,vila franca do campo,37.7167,-25.4333,18.27,99,100,5.82,PT,1704156010
87,bungo-takada-shi,33.5567,131.4451,8.99,56,6,0.48,JP,1704156010
88,chibougamau,49.9168,-74.3659,-8.21,67,100,6.17,CA,1704156011
89,port lincoln,-34.7333,135.8667,20.07,70,100,5.71,AU,1704155777
90,utrik,11.2278,169.8474,27.14,75,89,9.18,MH,1704156011
91,chonchi,-42.6128,-73.8092,12.9,92,84,1.37,CL,1704156011
92,knjazevac,43.5648,22.2502,6.83,94,100,1.53,RS,1704156011
93,margaret river,-33.95,115.0667,20.82,60,16,6.36,AU,1704156012
94,saint-pierre,-21.3393,55.4781,24.82,88,100,2.57,RE,1704156012
95,dalmatovo,56.26,62.9362,-19.66,95,100,5.88,RU,1704156012
96,west island,-12.1568,96.8225,26.99,83,40,9.26,CC,1704156012
97,san luis de la loma,17.2706,-100.8939,24.55,65,2,2.21,MX,1704156013
98,bac lieu,9.285,105.7244,26.71,80,100,4.24,VN,1704156013
99,barcelos,41.5388,-8.6151,13.08,87,100,3.78,PT,1704156013
100,coquimbo,-29.9533,-71.3436,17.85,77,20,4.12,CL,1704156013
101,puerto natales,-51.7236,-72.4875,12.41,90,100,1.11,CL,1704156014
102,wailua homesteads,22.0669,-159.378,27.24,76,20,7.72,US,1704156014
103,muisne,0.6,-80.0333,24.94,87,100,2.4,EC,1704156014
104,oodweyne,9.4092,45.064,18.57,31,6,4.57,SO,1704156014
105,lebu,-37.6167,-73.65,13.77,84,2,6.26,CL,1704156014
106,ribeira grande,38.5167,-28.7,18.21,91,100,5.81,PT,1704156014
107,harstad,68.799,16.5293,-6.77,50,98,7.6,NO,1704156015
108,taltal,-25.4,-70.4833,19.59,79,19,1.43,CL,1704156015
109,dannenberg,53.0967,11.09,6.19,89,100,3.15,DE,1704156015
